IP Address;TTL;Hostname;MAC Address;MAC Vendor;Latency;Is Alive;Open Ports;Username;NIC Speed;Operating System;Serial Number;Model;Processor;Memory;% Free Mem;Time;Reliability;model;SNMP Description;SNMP Name;SNMP Location;SNMP Uptime;CustomSNMP;Switch/Port
192.168.1.198;128;FSH-CCTV-PC;18:C0:4D:3C:03:9D;GigaByte Technology;0;True;;;;;;;;;;;;;;;;;;192.168.1.20 | Port11
192.168.1.201;128;FIN-NENAD-PC;D8:BB:C1:7E:B8:DA;;1;True;;;;;;;;;;;;;;;;;;192.168.1.25 | Slot0/23
192.168.1.199;0;SUDAREVIC-PC;B4:A9:FC:7C:6C:B0;Quanta Computer ;0;False;3389;;;;;;;;;;;;;;;;;192.168.1.27 | Slot0/11
192.168.1.210;128;IT-ORIGAMI-SRV;00:0C:29:D8:6C:C7;VMware ;0;True;"80;3389";;;;;;;;;;;;;;;;;192.168.1.37 | SFP1-LenovoSRV
192.168.1.196;64;HPA9A428;50:81:40:A9:A4:28;HP Inc.;0;True;"80;443";;;;;;;;;;;;HP ETHERNET MULTI-ENVIRONMENT;HPA9A428;;0d 18h 46m 54s 130ms;HP ETHERNET MULTI-ENVIRONMENT;192.168.1.253 | Port3-stampac
192.168.1.212;128;DMS-ORIGAMI;00:0C:29:BD:18:93;VMware ;0;True;"80;3389";;;;;;;;;;;;;;;;;192.168.1.37 | SFP1-LenovoSRV
192.168.1.202;128;DESKTOP-H71PJRL;00:1B:21:39:FE:CD;Intel Corporation;0;True;;;;;;;;;;;;;;;;;;192.168.1.96 | Port3
192.168.1.192;64;;F4:81:39:BD:40:B9;Canon ;0;True;80;;;;;;;;;;;;Canon iR2520 /P;;;0d 22h 14m 46s 300ms;Canon iR2520 /P;192.168.1.25 | Slot0/33
192.168.1.218;64;HPA994F0;50:81:40:A9:94:F0;HP Inc.;1;True;"80;443";;;;;;;;;;;;HP ETHERNET MULTI-ENVIRONMENT;HPA994F0;;0d 0h 24m 3s 300ms;HP ETHERNET MULTI-ENVIRONMENT;192.168.1.16 | Port12-HP149
192.168.1.209;128;MAG-VAGA3-PC;6C:4B:90:96:CC:46;LiteON;1;True;;;;;;;;;;;;;;;;;;192.168.1.11 | Port5-VAGA4
192.168.1.214;128;PRZ-SRDJAN-NB;54:AB:3A:D5:CF:CF;Quanta Computer ;1;True;;;;;;;;;;;;;;;;;;192.168.1.20 | Port9
192.168.1.216;128;BO-DRAGANA-PC;08:97:98:F8:5C:7A;Compal Information (Kunshan);1;True;;;;;;;;;;;;;;;;;;192.168.1.122 | Port12-BO
192.168.1.213;128;FIN-VESNA-PC;9C:5A:44:2A:3A:F5;Compal Information (Kunshan);1;True;;;;;;;;;;;;;;;;;;192.168.1.25 | Slot0/1
192.168.1.228;128;BESTMIX-SRVR;00:0C:29:26:1C:AC;VMware ;0;True;"80;3389";;;;;;;;;;;;;;;;;192.168.1.37 | SFP1-LenovoSRV
192.168.1.223;128;MPS-SLAVICA-NB;48:2A:E3:6A:A7:BE;Wistron InfoComm(Kunshan);1;True;;;;;;;;;;;;;;;;;;192.168.1.122 | Port9-BO-Canon
192.168.1.208;255;MIKROTIK-NSS-NR2;2C:C8:1B:29:E4:A8;Routerboardcom.;0;True;80;;;;;;;;;;;;CSS326-24G-2S+ SwOS v2.13;MikroTik-NSS-NR2;NSS-NER-R2;357d 0h 50m 44s 700ms;CSS326-24G-2S+ SwOS v2.13;192.168.1.36 | Port23-Downlink
192.168.1.211;64;;00:80:A3:B4:70:06;Lantronix;0;True;80;;;;;;;;;;;; V6.10.0.1 (141023);;;0d 21h 54m 37s 580ms; V6.10.0.1 (141023);192.168.1.22 | L1-DEK
192.168.1.230;128;SERVIS;00:0C:29:CE:09:FF;VMware ;0;True;3389;;;;;;;;;;;;;;;;;192.168.1.17 | Port1-Lenovo
192.168.1.242;128;PATENT-PC;DC:4A:3E:8B:C0:79;HewlettPackard Company;0;True;3389;;;;;;;;;;;;;;;;;192.168.1.96 | Port3
192.168.1.243;128;FIN-SILVIJA-PC;D0:17:C2:97:FD:E3;ASUSTek Computer ;0;True;;;;;;;;;;;;;;;;;;192.168.1.25 | Slot0/7
192.168.1.233;64;;00:80:A3:D1:22:46;Lantronix;30;True;80;;;;;;;;;;;; V6.10.0.1 (141023);;;0d 21h 27m 28s 960ms; V6.10.0.1 (141023);192.168.1.22 | L3-DEK
192.168.1.232;64;;00:80:A3:B8:D2:9C;Lantronix;30;True;80;;;;;;;;;;;; V6.10.0.1 (141023);;;2d 0h 27m 22s 190ms; V6.10.0.1 (141023);192.168.1.22 | L2-DEK
192.168.1.250;128;MAG-SIROVINE-PC;6C:4B:90:5B:43:13;LiteON;0;True;;;;;;;;;;;;;;;;;;192.168.1.16 | Port11
192.168.1.245;128;FPX-PREMIKSANA-;6C:4B:90:5B:E4:66;LiteON;1;True;3389;;;;;;;;;;;;;;;;;192.168.1.12 | Port17
192.168.1.235;64;;00:0C:26:0C:B3:3C;Weintek Labs ;0;True;80;;;;;;;;;;;;;;;;;192.168.1.22 | L2-PAL
